ID	source	context	sentence	sup_idx_sent	sup_idx_context	title	sup_class	superlative	turn_idx (only for dialogue)	target	CS	Anchor	Property	Orientation	Implicit	Amount	Rank
05-068_Photometry_(astronomy)_21	wikipedia	One typically speaks of performing differential, relative or absolute photometry.  Differential photometry is the measurement of changes in the brightness of an object over time; these measurements are compiled into a light curve of the object.  Relative photometry is the measurement of the apparent brightnesses of multiple objects relative to each other.  Absolute photometry is the measurement of the apparent brightness of an object on a standard photometric system, these measurements can be compared with other absolute photometric measurements obtained with different telescopes/instruments.  In most cases differential photometry can be done with the highest precision, while absolute photometry is the most difficult to do with high precision.	In most cases differential photometry can be done with the highest precision, while absolute photometry is the most difficult to do with high precision.	111:125	712:726	Photometry (astronomy)	ADV	most difficult		DO(e, EVENTUALITY=absolute photometry, MANNER=high precision)	DO(e, EVENTUALITY=photometry, MANNER=high precision)	#0=e	difficulty	positive	n		
05-069_Physical_geodesy_30	wikipedia	To a rough approximation, the Earth is a sphere, or to a much better approximation, an ellipsoid.  We can similarly approximate the gravity field of the Earth by a spherically symmetric field:  of which the equipotential surfaces -- the surfaces of constant potential value -- are concentric spheres.  It is more accurate to approximate the geopotential by a field that has the Earth reference ellipsoid as one of its equipotential surfaces, however.  The most recent Earth reference ellipsoid is GRS80, or Geodetic Reference System 1980, which the Global Positioning system uses as its reference.	The most recent Earth reference ellipsoid is GRS80, or Geodetic Reference System 1980, which the Global Positioning system uses as its reference.	4:15	456:467	Physical geodesy	ISA-1	most recent		GRS80 | Geodetic Reference System 1980	Earth reference ellipsoid	Earth reference ellipsoid	recency	positive	n		
05-071_Plant_life-form_5	wikipedia	"Plant life-form schemes constitute a way of classifying plants alternatively to the ordinary species-genus-family scientific classification.  In colloquial speech, plants may be classified as trees, shrubs, herbs (forbs and graminoids), etc. The scientific use of life-form schemes emphasizes plant function in the ecosystem and that the same function or ""adaptedness"" to the environment may be achieved in a number of ways, i.e.  plant species that are closely related phylogenetically may have widely different life-form, for example  and  are from the same family, but the former is a small herbaceous plant and the latter is a shrub or tree.  Conversely, unrelated species may share a life-form through convergent evolution.  The most widely applied life-form scheme is the Raunkiær system."	The most widely applied life-form scheme is the Raunkiær system.	4:23	734:753	Plant life-form	ADV	most widely applied		APPLY(e, THEME=Raunkiær system)	APPLY(e, THEME=life-form schemes)	#0=e	frequency	positive	n		
05-072_Psychology_29	wikipedia	"They doubted the validity of introspection for studying internal mental states such as feelings, sensations, beliefs, desires, and other unobservables.  In ""Psychology as the Behaviorist Views It"" (1913), Watson argued that psychology ""is a purely objective experimental branch of natural science,"" that ""introspection forms no essential part of its methods"", and that ""the behaviorist recognizes no dividing line between man and brute.""  Skinner rejected hypothesis testing as a productive method of research, considering it to be too conducive to speculative theories that would promote useless research and stifle good research.  Behaviorism reigned as the dominant model in psychology throughout the first half of the 20th century, largely due to the creation of conditioning theories as scientific models of human behavior, and their successful application in the workplace and in fields such as advertising and military science.  Work most associated with psychologist Albert Bandura, who initiated and studied social learning theory, showed that children could learn by social observation, without any change in overt behavior, and so must be accounted for by internal representations."	Work most associated with psychologist Albert Bandura, who initiated and studied social learning theory, showed that children could learn by social observation, without any change in overt behavior, and so must be accounted for by internal representations.	5:20	941:956	Psychology	FREE	most associated		"BE_ASSOCIATED(e, ARG1=""work most associated"", ARG2=psychologist Albert Bandura)"	BE_ASSOCIATED(e, ARG1=works, ARG2=psychologist Albert Bandura)	#0=e	extent	positive	n		
05-072_Psychology_42	wikipedia	Cognitive psychology is radically different from previous psychological perspectives in two key ways.  It accepts the use of the scientific method, and generally rejects introspection as a valid method of investigation, unlike symbol-driven approaches such as Freudian psychodynamics. *  It explicitly acknowledges the existence of internal mental states (such as belief, desire and motivation) unlike behaviorism.  Links between brain and nervous system function were also becoming understood, partly due to the experimental work of people such as Charles Sherrington and Donald Hebb, and partly due to studies of people with brain injury (see cognitive neuropsychology).  With the development of technologies for accurately measuring brain function, neuropsychology and cognitive neuroscience have become some of the most active areas in contemporary psychology.	With the development of technologies for accurately measuring brain function, neuropsychology and cognitive neuroscience have become some of the most active areas in contemporary psychology.	145:156	819:830	Psychology	ISA-2	most active		neuropsychology & cognitive neuroscience	areas ENVIRONMENT=contemporary psychology	areas	activity	positive	n		
05-072_Psychology_103	wikipedia	Personality psychology studies enduring psychological patterns of behavior, thought and emotion, commonly called an individual's personality.  Theories of personality vary between different psychological schools.  Trait theories attempts to break personality down into a number of traits, by use of factor analysis.  The number of traits have varied between theories.  One of the first, and smallest, models was that of Hans Eysenck, which had three dimensions: extroversion - introversion, neuroticism - emotional stability, and psychoticism.	One of the first, and smallest, models was that of Hans Eysenck, which had three dimensions: extroversion - introversion, neuroticism - emotional stability, and psychoticism.	22:30	391:399	Psychology	DEF	smallest		model OF=Hans Eysenck	models FOR=personality psychology	models	size	negative	y		
05-072_Psychology_105	wikipedia	"Trait theories attempts to break personality down into a number of traits, by use of factor analysis.  The number of traits have varied between theories.  One of the first, and smallest , models was that of Hans Eysenck, which had three dimensions: extroversion - introversion, neuroticism - emotional stability, and psychoticism.  Raymond Cattell proposed a theory of 16 personality factors.  The theory that has most empirical evidence behind it today may be the ""Big Five"" theory, proposed by Lewis Goldberg, and others."	"The theory that has most empirical evidence behind it today may be the ""Big Five"" theory, proposed by Lewis Goldberg, and others."	20:24	414:418	Psychology	INDEF	most		"HAVE(e, PIVOT=""Big Five"" theory, THEME=empirical evidence)"	HAVE(e, PIVOT=Trait theories, THEME=empirical evidence)	#2=THEME	amount	positive	y		
05-072_Psychology_157	wikipedia	Whereas clinical psychology focuses on mental health and neurological illness, health psychology is concerned with the psychology of a much wider range of health-related behavior including healthy eating, the doctor-patient relationship, a patient's understanding of health information, and beliefs about illness.  Health psychologists may be involved in public health campaigns, examining the impact of illness or health policy on quality of life and in research into the psychological impact of health and social care.  Human factors psychology (sometimes called Engineering Psychology) is the study of how cognitive and psychological processes affect our interaction with tools and objects in the environment.  The goal of research in human factors psychology is to better design objects by taking into account the limitations and biases of human mental processes and behavior.  Industrial and organizational psychology (I/O) is among the newest fields in psychology.	Industrial and organizational psychology (I/O) is among the newest fields in psychology.	60:66	942:948	Psychology	ISA-1	newest		Industrial and organizational psychology (I/O)	fields IN=psychology	fields	recency	positive	n		among
05-072_Psychology_205	wikipedia	All of which cover informed consent of human participants in experimental studies.  There were a number of influential studies which lead to the establishment of these rules, including the MIT & Fernald School radioisotope studies, the Thalidomide Tragedy, Willowbrook hepatitis study, Milgram's obedience to authority studies.  Animal learning experiments are important in many aspects of psychology such as investigating the biological basis of learning, memory and behavior.  In the 1890s, Ivan Pavlov famously used dogs to describe classical conditioning.  The original and most famous example of a classical conditioning study.	The original and most famous example of a classical conditioning study.	17:28	578:589	Psychology	DEF	most famous		Ivan Pavlov famously used dogs to describe classical conditioning, TIME=1890s	examples OF=classical conditioning study	examples	fame	positive	y		
05-075_Ranunculaceae_5	wikipedia	"Ranunculaceae is a family of flowering plants also known as the ""buttercup family"" or ""crowfoot family"".  The family name is derived from the genus Ranunculus.  Members include  (anemones),  (buttercups),  (aconite), and .  According to the database of the Royal Botanic Gardens, Kew, the family consists of 51 to 88 genera, totalling about 2500 species.  Numerically the most important genera are Ranunculus (600 species), Delphinium (365 species), Thalictrum (330 species), Clematis (325 species), and Aconitum (300 species)."	Numerically the most important genera are Ranunculus (600 species), Delphinium (365 species), Thalictrum (330 species), Clematis (325 species), and Aconitum (300 species).	16:30	372:386	Ranunculaceae	ISA-1	most important		Ranunculus (600 species) & Delphinium (365 species) & Thalictrum (330 species) & Clematis (325 species) & Aconitum (300 species)	genera OF=Ranunculaceae	genera	count	positive	y		
